nom,prix,devise,supermarche,categorie,categorie_description,zone
Œufs frais,17.99,TND,Carrefour,Produits Laitiers,"Lait, yaourt, fromage",Carrefour Tunis
Fromage fondu gouda cavalière ,33.5,TND,Carrefour,Produits Laitiers,"Lait, yaourt, fromage",Carrefour Sousse
Ricotta double crème,12.5,TND,Carrefour,Produits Laitiers,"Lait, yaourt, fromage",Carrefour Ariana
Margarine,7.39,TND,Carrefour,Produits Laitiers,"Lait, yaourt, fromage",Carrefour Tunis
Fromage râpé au sicilien cuit,56.3,TND,Carrefour,Produits Laitiers,"Lait, yaourt, fromage",Carrefour Sousse
Yaourt brassé ,0.43,TND,Carrefour,Produits Laitiers,"Lait, yaourt, fromage",Carrefour Ariana
Fromage râpé au gruyere,8.29,TND,Carrefour,Produits Laitiers,"Lait, yaourt, fromage",Carrefour Tunis
Le bleu de Lansarine,60.9,TND,Carrefour,Produits Laitiers,"Lait, yaourt, fromage",Carrefour Sousse
Délishake ,1.09,TND,Carrefour,Produits Laitiers,"Lait, yaourt, fromage",Carrefour Ariana
Plateau Fromage fête (350g à 400g),52.9,TND,Carrefour,Produits Laitiers,"Lait, yaourt, fromage",Carrefour Tunis
Fromage edam,58.6,TND,Carrefour,Produits Laitiers,"Lait, yaourt, fromage",Carrefour Sousse
Fromage à raclette ,61.0,TND,Carrefour,Produits Laitiers,"Lait, yaourt, fromage",Carrefour Ariana
Fromage à raclette ,76.5,TND,Carrefour,Produits Laitiers,"Lait, yaourt, fromage",Carrefour Tunis
Mozzarella cerise,50.2,TND,Carrefour,Produits Laitiers,"Lait, yaourt, fromage",Carrefour Sousse
Fromage sicilien demi sel ,39.8,TND,Carrefour,Produits Laitiers,"Lait, yaourt, fromage",Carrefour Ariana
Fromage gouda ,58.6,TND,Carrefour,Produits Laitiers,"Lait, yaourt, fromage",Carrefour Tunis
Fromage Primo Sale,59.8,TND,Carrefour,Produits Laitiers,"Lait, yaourt, fromage",Carrefour Sousse
Crème dessert Toffee chocolat ,0.89,TND,Carrefour,Produits Laitiers,"Lait, yaourt, fromage",Carrefour Ariana
Fromage Gouda,51.9,TND,Carrefour,Produits Laitiers,"Lait, yaourt, fromage",Carrefour Tunis
Fromage carré,5.69,TND,Carrefour,Produits Laitiers,"Lait, yaourt, fromage",Carrefour Sousse
Yaourt nature nature light,0.55,TND,Carrefour,Produits Laitiers,"Lait, yaourt, fromage",Carrefour Ariana
Yaourt aromatisé,0.55,TND,Carrefour,Produits Laitiers,"Lait, yaourt, fromage",Carrefour Tunis
Fromage à l'emmental,5.2,TND,Carrefour,Produits Laitiers,"Lait, yaourt, fromage",Carrefour Sousse
Fromage au cheddar,5.2,TND,Carrefour,Produits Laitiers,"Lait, yaourt, fromage",Carrefour Ariana
Crème sucrée pour garniture de gâteaux,6.89,TND,Carrefour,Produits Laitiers,"Lait, yaourt, fromage",Carrefour Tunis
Yaourt à boire protéiné café caramel Yopro,3.99,TND,Carrefour,Produits Laitiers,"Lait, yaourt, fromage",Carrefour Sousse
Yaourt à boire protéiné chocolat Yopro,3.99,TND,Carrefour,Produits Laitiers,"Lait, yaourt, fromage",Carrefour Ariana
Yaourt à boire protéiné Yopro,3.99,TND,Carrefour,Produits Laitiers,"Lait, yaourt, fromage",Carrefour Tunis
Yaourt à boire protéiné vanille cookies Yopro,3.99,TND,Carrefour,Produits Laitiers,"Lait, yaourt, fromage",Carrefour Sousse
Yaourt à boire protéiné fraise framboise Yopro,3.99,TND,Carrefour,Produits Laitiers,"Lait, yaourt, fromage",Carrefour Ariana
Yaourt à boire protéiné nature Yopro,3.99,TND,Carrefour,Produits Laitiers,"Lait, yaourt, fromage",Carrefour Tunis
Yaourt à boire protéiné Yopro,3.99,TND,Carrefour,Produits Laitiers,"Lait, yaourt, fromage",Carrefour Sousse
Œufs frais,12.55,TND,Carrefour,Produits Laitiers,"Lait, yaourt, fromage",Carrefour Ariana
Fromage cavaliere edam,33.5,TND,Carrefour,Produits Laitiers,"Lait, yaourt, fromage",Carrefour Tunis
Fromage cavaliere gouda ,43.6,TND,Carrefour,Produits Laitiers,"Lait, yaourt, fromage",Carrefour Sousse
Lait concentré sucré,12.69,TND,Carrefour,Produits Laitiers,"Lait, yaourt, fromage",Carrefour Ariana
Yaourt à boire proteiné,3.19,TND,Carrefour,Produits Laitiers,"Lait, yaourt, fromage",Carrefour Tunis
Yaourt brassé aux fruits jaunes et aux céréales,1.08,TND,Carrefour,Produits Laitiers,"Lait, yaourt, fromage",Carrefour Sousse
Yaourt brassé aux fruits rouges et aux céréales,1.08,TND,Carrefour,Produits Laitiers,"Lait, yaourt, fromage",Carrefour Ariana
Fromage ricotta ,3.02,TND,Carrefour,Produits Laitiers,"Lait, yaourt, fromage",Carrefour Tunis
Boisson lactée Danao au jus de pêche abricot,0.89,TND,Carrefour,Produits Laitiers,"Lait, yaourt, fromage",Carrefour Sousse
Fromage frais Croc'lait ,3.49,TND,Carrefour,Produits Laitiers,"Lait, yaourt, fromage",Carrefour Ariana
Fromage mozzarella cerise ,64.2,TND,Carrefour,Produits Laitiers,"Lait, yaourt, fromage",Carrefour Tunis
Pack de yaourts aromatisés ,6.34,TND,Carrefour,Produits Laitiers,"Lait, yaourt, fromage",Carrefour Sousse
Yaourt brassé Blendy,1.11,TND,Carrefour,Produits Laitiers,"Lait, yaourt, fromage",Carrefour Ariana
Yaourt à la grecque Oikos,0.96,TND,Carrefour,Produits Laitiers,"Lait, yaourt, fromage",Carrefour Tunis
Yaourt aromatisé aux fruits ,0.84,TND,Carrefour,Produits Laitiers,"Lait, yaourt, fromage",Carrefour Sousse
Yaourt aromatisé,0.55,TND,Carrefour,Produits Laitiers,"Lait, yaourt, fromage",Carrefour Ariana
Yaourt à boire,2.0,TND,Carrefour,Produits Laitiers,"Lait, yaourt, fromage",Carrefour Tunis
Yaourt aromatisé Mamzouj,0.43,TND,Carrefour,Produits Laitiers,"Lait, yaourt, fromage",Carrefour Sousse
