nom,category_id,categorie,prix_initial,prix_optimal,stock,date_expiration,jours_avant_expiration,supermarche,zone
Kiwi,2,Fruits et Légumes,0.870,,,,,Monoprix,Tunisie
Dattes standards,2,Fruits et Légumes,2.150,,,,,Monoprix,Tunisie
Fraise,2,Fruits et Légumes,2.750,,,,,Monoprix,Tunisie
Orange à jus,2,Fruits et Légumes,3.120,,,,,Monoprix,Tunisie
Orange Valencia late A,2,Fruits et Légumes,4.360,,,,,Monoprix,Tunisie
Pastèque,2,Fruits et Légumes,4.370,,,,,Monoprix,Tunisie
Orange double fine AA,2,Fruits et Légumes,5.000,,,,,Monoprix,Tunisie
Orange Thompson Navel AA,2,Fruits et Légumes,5.600,,,,,Monoprix,Tunisie
Orange thompson navel,2,Fruits et Légumes,5.600,,,,,Monoprix,Tunisie
Pâte de dattes,2,Fruits et Légumes,5.950,,,,,Monoprix,Tunisie
Dattes branchées,2,Fruits et Légumes,6.200,,,,,Monoprix,Tunisie
Barquettes dattes,2,Fruits et Légumes,7.500,,,,,Monoprix,Tunisie
Pomme rouge de sbiba A,2,Fruits et Légumes,8.100,,,,,Monoprix,Tunisie
Dattes,2,Fruits et Légumes,8.900,,,,,Monoprix,Tunisie
Melon Lobnani,2,Fruits et Légumes,10.000,,,,,Monoprix,Tunisie
Mangue importée,2,Fruits et Légumes,12.500,,,,,Monoprix,Tunisie
Dattes branchées,2,Fruits et Légumes,12.500,,,,,Monoprix,Tunisie
Barquette de dattes standards,2,Fruits et Légumes,13.200,,,,,Monoprix,Tunisie
Coffret de dattes,2,Fruits et Légumes,13.900,,,,,Monoprix,Tunisie
Coffret des dattes,2,Fruits et Légumes,20.900,,,,,Monoprix,Tunisie
Dattes branchées,2,Fruits et Légumes,25.000,,,,,Monoprix,Tunisie
Persil,2,Fruits et Légumes,0.500,,,,,Monoprix,Tunisie
Celeri vert,2,Fruits et Légumes,0.500,,,,,Monoprix,Tunisie
Blette,2,Fruits et Légumes,0.500,,,,,Monoprix,Tunisie
Salade laitue,2,Fruits et Légumes,1.250,,,,,Monoprix,Tunisie
Salade romaine,2,Fruits et Légumes,1.250,,,,,Monoprix,Tunisie
Chou vert,2,Fruits et Légumes,1.870,,,,,Monoprix,Tunisie
Artichaut violet,2,Fruits et Légumes,1.875,,,,,Monoprix,Tunisie
Tête de fenouil,2,Fruits et Légumes,2.250,,,,,Monoprix,Tunisie
Tomate allongée,2,Fruits et Légumes,2.300,,,,,Monoprix,Tunisie
Pomme de terre nouvelle,2,Fruits et Légumes,2.300,,,,,Monoprix,Tunisie
Oignon rouge,2,Fruits et Légumes,2.500,,,,,Monoprix,Tunisie
Oignon rebeii,2,Fruits et Légumes,2.500,,,,,Monoprix,Tunisie
Chou rouge,2,Fruits et Légumes,2.870,,,,,Monoprix,Tunisie
Betterave avec fanes,2,Fruits et Légumes,3.120,,,,,Monoprix,Tunisie
Courge rouge,2,Fruits et Légumes,3.120,,,,,Monoprix,Tunisie
Roquette cultivée,2,Fruits et Légumes,3.750,,,,,Monoprix,Tunisie
Aubergine,2,Fruits et Légumes,4.280,,,,,Monoprix,Tunisie
Piment meski primeur,2,Fruits et Légumes,4.280,,,,,Monoprix,Tunisie
Courgette,2,Fruits et Légumes,4.900,,,,,Monoprix,Tunisie
Basilic,2,Fruits et Légumes,4.980,,,,,Monoprix,Tunisie
Roquette fraîche,2,Fruits et Légumes,6.000,,,,,Monoprix,Tunisie
Tomate cerise,2,Fruits et Légumes,6.000,,,,,Monoprix,Tunisie
Poivron carré,2,Fruits et Légumes,11.000,,,,,Monoprix,Tunisie
Champignon,2,Fruits et Légumes,20.600,,,,,Monoprix,Tunisie
DELISSO Lait aromatisé,1,Produits Laitiers,0.920,, , , ,Monoprix,Tunisie
DELISSO Lait aromatisé,1,Produits Laitiers,0.920,, , , ,Monoprix,Tunisie
NATILAIT Lait 1/2 écrémé,1,Produits Laitiers,1.350,, , , ,Monoprix,Tunisie
DELICE Lait demi écrémé,1,Produits Laitiers,1.350,, , , ,Monoprix,Tunisie
DELICE Lben,1,Produits Laitiers,1.370,, , , ,Monoprix,Tunisie
DELICE Kéfir,1,Produits Laitiers,1.370,, , , ,Monoprix,Tunisie
DELICE Kéfir,1,Produits Laitiers,1.370,, , , ,Monoprix,Tunisie
DELICE Lben,1,Produits Laitiers,1.590,1.390, , , ,Monoprix,Tunisie
DELICE Raieb,1,Produits Laitiers,1.590,1.390, , , ,Monoprix,Tunisie
NATILAIT Raieb,1,Produits Laitiers,1.680,, , , ,Monoprix,Tunisie
VITALAIT Lben,1,Produits Laitiers,1.690,, , , ,Monoprix,Tunisie
VITALAIT Raieb,1,Produits Laitiers,1.690,, , , ,Monoprix,Tunisie
NATILAIT Lben,1,Produits Laitiers,1.780,, , , ,Monoprix,Tunisie
DELISSO Lait enrichi,1,Produits Laitiers,2.470,, , , ,Monoprix,Tunisie
DELICE Lait écremé 0%,1,Produits Laitiers,2.470,, , , ,Monoprix,Tunisie
DELICE Lait entier,1,Produits Laitiers,2.760,, , , ,Monoprix,Tunisie
NESTLE Lait concentré,1,Produits Laitiers,9.990,, , , ,Monoprix,Tunisie
DELICE DANONE Yaourt brassé,1,Produits Laitiers,0.430,0.380, , , ,Monoprix,Tunisie
DELICE DANONE Yaourt brassé,1,Produits Laitiers,0.430,0.380, , , ,Monoprix,Tunisie
P'TIT TOP Yaourt brassé,1,Produits Laitiers,0.430,0.400, , , ,Monoprix,Tunisie
P'TIT TOP Yaourt brassé,1,Produits Laitiers,0.430,0.400, , , ,Monoprix,Tunisie
YAB Yaourt brassé,1,Produits Laitiers,0.430,0.400, , , ,Monoprix,Tunisie
VITALAIT Yaourt brassé,1,Produits Laitiers,0.430,, , , ,Monoprix,Tunisie
VITALAIT Yaourt brassé,1,Produits Laitiers,0.430,, , , ,Monoprix,Tunisie
VITALAIT Yaourt brassé,1,Produits Laitiers,0.430,, , , ,Monoprix,Tunisie
VITALAIT Yaourt brassé,1,Produits Laitiers,0.430,, , , ,Monoprix,Tunisie
NATILAIT Yaourt brassé,1,Produits Laitiers,0.460,, , , ,Monoprix,Tunisie
NATILAIT Yaourt brassé,1,Produits Laitiers,0.460,, , , ,Monoprix,Tunisie
NATILAIT Spécialité laitière brassée,1,Produits Laitiers,0.460,, , , ,Monoprix,Tunisie
NATILAIT Yaourt,1,Produits Laitiers,0.540,0.500, , , ,Monoprix,Tunisie
DELICE DANONE Yaourt aromatisé,1,Produits Laitiers,0.540,, , , ,Monoprix,Tunisie
VITALAIT Yaourt aromatisé,1,Produits Laitiers,0.540,, , , ,Monoprix,Tunisie
DELICE DANONE Yaourt aromatisé,1,Produits Laitiers,0.540,, , , ,Monoprix,Tunisie
DELICE DANONE Yaourt aromatisé,1,Produits Laitiers,0.540,, , , ,Monoprix,Tunisie
DELICE DANONE Yaourt aromatisé,1,Produits Laitiers,0.540,,,,,Monoprix,Tunisie
DELICE DANONE Yaourt aromatisé,1,Produits Laitiers,0.540,,,,,Monoprix,Tunisie
DELICE DANONE Yaourt aromatisé,1,Produits Laitiers,0.540,,,,,Monoprix,Tunisie
DELICE DANONE Yaourt aromatisé,1,Produits Laitiers,0.540,,,,,Monoprix,Tunisie
DELICE DANONE Yaourt aromatisé,1,Produits Laitiers,0.540,,,,,Monoprix,Tunisie
VITALAIT Yaourt aromatisé,1,Produits Laitiers,0.540,,,,,Monoprix,Tunisie
VITALAIT Yaourt aromatisé,1,Produits Laitiers,0.540,,,,,Monoprix,Tunisie
NATILAIT Yaourt aromatisé,1,Produits Laitiers,0.540,,,,,Monoprix,Tunisie
NATILAIT Yaourt aromatisé,1,Produits Laitiers,0.540,,,,,Monoprix,Tunisie
NATILAIT Yaourt aromatisé,1,Produits Laitiers,0.540,,,,,Monoprix,Tunisie
NATILAIT Yaourt aromatisé,1,Produits Laitiers,0.540,,,,,Monoprix,Tunisie
NATILAIT Yaourt aromatisé,1,Produits Laitiers,0.540,,,,,Monoprix,Tunisie
NATILAIT Yaourt aromatisé,1,Produits Laitiers,0.540,,,,,Monoprix,Tunisie
NATILAIT Yaourt aromatisé,1,Produits Laitiers,0.540,,,,,Monoprix,Tunisie
VITALAIT Yaourt aromatisé,1,Produits Laitiers,0.540,,,,,Monoprix,Tunisie
VITALAIT Yaourt aromatisé,1,Produits Laitiers,0.540,,,,,Monoprix,Tunisie
VITALAIT Yaourt aromatisé,1,Produits Laitiers,0.540,,,,,Monoprix,Tunisie
VITALAIT Yaourt aromatisé,1,Produits Laitiers,0.540,,,,,Monoprix,Tunisie
VITALAIT Yaourt nature,1,Produits Laitiers,0.550,,,,,Monoprix,Tunisie
YAB Yaourt aromatisé,1,Produits Laitiers,0.555,,,,,Monoprix,Tunisie
YAB Yaourt aromatisé,1,Produits Laitiers,0.555,,,,,Monoprix,Tunisie
YAB Yaourt aromatisé,1,Produits Laitiers,0.555,,,,,Monoprix,Tunisie
