nom,prix,ancienne_prix,devise,supermarche,categorie,categorie_description,zone
Persil Maadnous,0.700,,TND,Magik,Fruits et Légumes,Produits frais de saison,Gabes
Pomme de terre بطاطا,1.500,1.900,TND,Magik,Fruits et Légumes,Produits frais de saison,Gabes
Courge rouge قرع أحمر,1.800,2.000,TND,Magik,Fruits et Légumes,Produits frais de saison,Gabes
Tomates طماطم,1.500,2.000,TND,Magik,Fruits et Légumes,Produits frais de saison,Gabes
Carotte sans fanes سفنارية,2.500,,TND,Magik,Fruits et Légumes,Produits frais de saison,Gabes
Piment Meski,2.900,3.000,TND,Magik,Fruits et Légumes,Produits frais de saison,Gabes
Piment Doux فلفل حلو,3.800,,TND,Magik,Fruits et Légumes,Produits frais de saison,Gabes
Blette سلق,0.800,,TND,Magik,Fruits et Légumes,Produits frais de saison,Gabes
Chou Vert kronb,1.700,1.800,TND,Magik,Fruits et Légumes,Produits frais de saison,Gabes
Concombre فقوس,3.800,4.500,TND,Magik,Fruits et Légumes,Produits frais de saison,Gabes
Chou fleur Brouclou بروكلو,1.500,2.000,TND,Magik,Fruits et Légumes,Produits frais de saison,Gabes
Navet avec fanes Left لفت,1.700,2.000,TND,Magik,Fruits et Légumes,Produits frais de saison,Gabes
Courgette قرع أخضر,3.300,,TND,Magik,Fruits et Légumes,Produits frais de saison,Gabes
Betteraves بتراف,2.000,,TND,Magik,Fruits et Légumes,Produits frais de saison,Gabes
Aubergine باذنجان,2.000,,TND,Magik,Fruits et Légumes,Produits frais de saison,Gabes
Salade laitue romaine khass,2.500,2.700,TND,Magik,Fruits et Légumes,Produits frais de saison,Gabes
Piment rouge fort,3.800,4.000,TND,Magik,Fruits et Légumes,Produits frais de saison,Gabes
Haricots verts rouges,6.000,6.500,TND,Magik,Fruits et Légumes,Produits frais de saison,Gabes
Aubergine,2.000,,TND,Magik,Fruits et Légumes,Produits frais de saison,Gabes
Citrouille Butzina,3.800,,TND,Magik,Fruits et Légumes,Produits frais de saison,Gabes
Ail Blanc ثوم أبيض,0.870,0.920,TND,Magik,Fruits et Légumes,Produits frais de saison,Gabes
