nom,category_id,categorie,prix_initial,prix_optimal,stock,date_expiration,jours_avant_expiration,supermarche,zone
100g Fromage Gruyère / 100g  جبنة جرويير,1,Produits Laitiers,5.3,,,,,Otrity,Tunisie
crème fraîche,1,Produits Laitiers,2.7,,,,,Otrity,Tunisie
Crème fraîche liquide,1,Produits Laitiers,3.6,,,,,Otrity,Tunisie
Formage jaune Gouda 100g  / 100g kaiser جبنة اصفر,1,Produits Laitiers,4.8,,,,,Otrity,Tunisie
fromage doux 100g / 100g جبن حلو,1,Produits Laitiers,2.9,,,,,Otrity,Tunisie
Fromage edam 100g  / 100g جبنة احمر ادام,1,Produits Laitiers,5.3,,,,,Otrity,Tunisie
Fromage fondu maxi,1,Produits Laitiers,1.8,,,,,Otrity,Tunisie
Fromage râpé mozzarella 100% lait 100g / 100g جبن موزاريلا 100% حليب,1,Produits Laitiers,2.8,,,,,Otrity,Tunisie
Fromage rouge Edam 100g / 100g  kaiser جبنة احمر,1,Produits Laitiers,4.8,,,,,Otrity,Tunisie
Fromage sicilien 100g / 100g جبنة صقلية,1,Produits Laitiers,2.9,,,,,Otrity,Tunisie
Goldina 200g,1,Produits Laitiers,2.8,,,,,Otrity,Tunisie
Goldina omega 3 400g,1,Produits Laitiers,4.8,,,,,Otrity,Tunisie
Lait demi-écrémé Délisso Délice 1L,1,Produits Laitiers,2.5,,,,,Otrity,Tunisie
Margarine Jadida 1Kg,1,Produits Laitiers,10.3,,,,,Otrity,Tunisie
Margarine riche en Oméga 3 200g,1,Produits Laitiers,3.2,,,,,Otrity,Tunisie
Ricotte fraîche 100g  /100g ريكوتا طازجة,1,Produits Laitiers,1.6,,,,,Otrity,Tunisie
Fromage Carré Président 8Portions,1,Produits Laitiers,4.98,,,,,Otrity,Tunisie
Fromage fondu goûter Président3,1,Produits Laitiers,0.98,,,,,Otrity,Tunisie
Fromage Fraidoux Président Familial 240g,1,Produits Laitiers,6.192,,,,,Otrity,Tunisie
Fromage Fraidoux Président 120g,1,Produits Laitiers,3.8,,,,,Otrity,Tunisie
Fromage frais carré paquet de 24 portions,1,Produits Laitiers,12.3,,,,,Otrity,Tunisie
Fromage President 24P,1,Produits Laitiers,9.6,,,,,Otrity,Tunisie
Fromage President 48P,1,Produits Laitiers,17.664,,,,,Otrity,Tunisie
Fromage President 8p,1,Produits Laitiers,3.72,,,,,Otrity,Tunisie
Fromage Président emmental 10 slices,1,Produits Laitiers,5.8,,,,,Otrity,Tunisie
Fromage Président emmental slices 5/s,1,Produits Laitiers,3.2,,,,,Otrity,Tunisie
Lait UHT 1/2 écrémé DELICE 1L,1,Produits Laitiers,1.35,,,,,Otrity,Tunisie
Margarine Goldina 100g,1,Produits Laitiers,1.85,,,,,Otrity,Tunisie
Margarine Goldina 500g,1,Produits Laitiers,6.2,,,,,Otrity,Tunisie
Margarine Goldina Plus Omega 3,1,Produits Laitiers,3.78,,,,,Otrity,Tunisie
Margarine Jadida 100g,1,Produits Laitiers,1.565,,,,,Otrity,Tunisie
Margarine Jadida 200g,1,Produits Laitiers,2.66,,,,,Otrity,Tunisie
Margarine Jadida 500g,1,Produits Laitiers,6.12,,,,,Otrity,Tunisie
Amidon De Mais Vanoise 150g,5,Épicerie,2.3,,,,,Otrity,Tunisie
BEST HEALTHY BREAD CAMPAGNARD AU LEVIN 160g,5,Épicerie,2.958,,,,,Otrity,Tunisie
BEST HEALTHY BREAD CAMPAGNARD LIGHT AU LEVIN 160g,5,Épicerie,2.958,,,,,Otrity,Tunisie
BEST HEALTHY BREAD COMPLET LIGHT AU LEVIN 160g,5,Épicerie,2.958,,,,,Otrity,Tunisie
BEST HEALTHY BREAD SEIGLE ROYAL AU LEVIN 160g,5,Épicerie,2.958,,,,,Otrity,Tunisie
BEST HEALTHY BREAD SEIGLE ROYAL LIGHT  AU LEVIN 160g,5,Épicerie,2.958,,,,,Otrity,Tunisie
BEST HEALTHY CHIA BREAD AU LEVIN 160g,5,Épicerie,2.958,,,,,Otrity,Tunisie
BEST HEALTHY CHIA BREAD LIGHT AU LEVIN 160g,5,Épicerie,2.958,,,,,Otrity,Tunisie
Biscuits OXO Saida,5,Épicerie,0.909,,,,,Otrity,Tunisie
Bonbon au gout  glace Menthe 1kg,5,Épicerie,11.04,,,,,Otrity,Tunisie
Bonbon café au lait Papillons 1kg,5,Épicerie,11.04,,,,,Otrity,Tunisie
Bonbon mous fourré Sweet Papillon 750g,5,Épicerie,11.04,,,,,Otrity,Tunisie
Bonbon Soft Candy Papillons 750g,5,Épicerie,11.04,,,,,Otrity,Tunisie
Café Aroma Selection Qualité Superieur Bondin  125g,5,Épicerie,4.625,,,,,Otrity,Tunisie
Cafe Chicoree Brava 200 gr,5,Épicerie,16.5,,,,,Otrity,Tunisie
Café Turc Pur Premuim Ben Yedder 125g,5,Épicerie,4.625,,,,,Otrity,Tunisie
CAPSULE 1*10 ARPEGGIO NESPRESSO,5,Épicerie,28.0,,,,,Otrity,Tunisie
CAPSULE 1*10 RISTRETTO NESPRESSO,5,Épicerie,28.0,,,,,Otrity,Tunisie
Céréales blé GRAIN D’OR Cacao 300gr,5,Épicerie,6.349,,,,,Otrity,Tunisie
Céréales blé GRAIN D’OR Miel 300gr,5,Épicerie,6.349,,,,,Otrity,Tunisie
Chaïma Aux amandes et noisettes GAZELLE 200gr,5,Épicerie,5.07,,,,,Otrity,Tunisie
Chaïma PAPILLON Nature 350gr,5,Épicerie,10.8,,,,,Otrity,Tunisie
Champignons  Hannibal 390 g,5,Épicerie,4.7,,,,,Otrity,Tunisie
Champignons éminées CHEF 180g,5,Épicerie,3.482,,,,,Otrity,Tunisie
Champignons en tranches CHEF 400g,5,Épicerie,5.28,,,,,Otrity,Tunisie
Chicorée soluble Brava 120g +20g Gratuit,5,Épicerie,9.987,,,,,Otrity,Tunisie
Chicorée soluble Brava 250g + 50g gratuit,5,Épicerie,25.5,,,,,Otrity,Tunisie
chips cheetos flamin hot 80gr,5,Épicerie,4.0,,,,,Otrity,Tunisie
chips doritos flamin hot 43 gr,5,Épicerie,1.958,,,,,Otrity,Tunisie
Chips Natcho Cheese Doritos 100gr,5,Épicerie,5.5,,,,,Otrity,Tunisie
Chips Sweet Chili Pepper Doritos 100gr,5,Épicerie,5.5,,,,,Otrity,Tunisie
Chocolat  Maestro AURA Crème CACAO,5,Épicerie,1.0,,,,,Otrity,Tunisie
Chocolat au Lait Fourèe au Caramel au Beurre salè Maestro Passion,5,Épicerie,13.2,,,,,Otrity,Tunisie
Chocolat au Lait Maestro Air Bubbles 100g,5,Épicerie,4.2,,,,,Otrity,Tunisie
Chocolat au Noir Maestro Air Bubbles 100g,5,Épicerie,4.2,,,,,Otrity,Tunisie
Chocolat Caramel Duo Saida 28g,5,Épicerie,0.75,,,,,Otrity,Tunisie
Chocolat Noir fourré Orange Maestro Passion,5,Épicerie,13.2,,,,,Otrity,Tunisie
Chocolat Pâte à glacer SAID,5,Épicerie,1.0,,,,,Otrity,Tunisie
Chocolat vanoise 150g,5,Épicerie,4.5,,,,,Otrity,Tunisie
Concentré de Tomates ZEMNIA 800g,5,Épicerie,4.4,,,,,Otrity,Tunisie
Concentré de Tomates ZINA 800g,5,Épicerie,4.499,,,,,Otrity,Tunisie
Confiture Abricot LA FRUITIERE 340 gr,5,Épicerie,5.9,,,,,Otrity,Tunisie
Confiture Coing CARTHAGE 470GR,5,Épicerie,4.8,,,,,Otrity,Tunisie
Confiture Coing LA FRUITIERE 340gr,5,Épicerie,5.9,,,,,Otrity,Tunisie
Confiture de coings STICAP 470g,5,Épicerie,5.3,,,,,Otrity,Tunisie
Confiture de figues CAP D’OR 470g,5,Épicerie,6.3,,,,,Otrity,Tunisie
Confiture de figues JOUDA 470g,5,Épicerie,7.62,,,,,Otrity,Tunisie
Confiture de figues STICAP 470g,5,Épicerie,6.3,,,,,Otrity,Tunisie
Confiture de fraise STICAP 470g,5,Épicerie,6.3,,,,,Otrity,Tunisie
Confiture d’Abricot CARTHAGE 470g,5,Épicerie,4.68,,,,,Otrity,Tunisie
Confiture d’Abricot LE PETIT PARIS 470g,5,Épicerie,4.8,,,,,Otrity,Tunisie
Confiture Figue LA FRUITIERE 340gr,5,Épicerie,5.9,,,,,Otrity,Tunisie
Cookies SAIDA cœur fondant  136GR Cacao – Aux pépites de chocolat,5,Épicerie,2.975,,,,,Otrity,Tunisie
Couscous EXPRESS Diari,5,Épicerie,0.9,,,,,Otrity,Tunisie
Crème chantilly SMART CHEF 82g,5,Épicerie,2.52,,,,,Otrity,Tunisie
Crème Dessert Gout Banane Vanoise,5,Épicerie,0.9,,,,,Otrity,Tunisie
Crème Dessert Gout Caramel Vanoise,5,Épicerie,0.9,,,,,Otrity,Tunisie
Crème Dessert Gout chocolat Vanoise,5,Épicerie,0.9,,,,,Otrity,Tunisie
Crème Dessert Gout fraise Vanoise,5,Épicerie,0.9,,,,,Otrity,Tunisie
Crème Dessert Gout Noisette Vanoise,5,Épicerie,0.9,,,,,Otrity,Tunisie
Crème Dessert Gout Pistache Vanoise,5,Épicerie,0.9,,,,,Otrity,Tunisie
Crème Dessert Gout Vanille Vanoise,5,Épicerie,0.9,,,,,Otrity,Tunisie
Croustina ChocoTom 35g,5,Épicerie,0.522,,,,,Otrity,Tunisie
Dragées aux amandes 20g,5,Épicerie,1.8,,,,,Otrity,Tunisie
Dragées Perles Donia 20g,5,Épicerie,1.8,,,,,Otrity,Tunisie
Fèves Cuites Mami 400 g,5,Épicerie,4.7,,,,,Otrity,Tunisie
Filet de Thon Sidi Daoud 120 g,5,Épicerie,9.5,,,,,Otrity,Tunisie
Gaufrettes CHOCOTOM 100g,5,Épicerie,1.55,,,,,Otrity,Tunisie
Gel douche Lilas Extrême Exotique 500 ML,5,Épicerie,5.034,,,,,Otrity,Tunisie
Haricot blanc MAMI 400G,5,Épicerie,4.8,,,,,Otrity,Tunisie
Haricots Rouges Mami 400 g,5,Épicerie,5.0,,,,,Otrity,Tunisie
Harissa du Cap Bon Cap Vert 380 g,5,Épicerie,4.5,,,,,Otrity,Tunisie
Harissa du Cap Bon El Manara de Djerba 380 g,5,Épicerie,4.3,,,,,Otrity,Tunisie
Harissa du Cap Bon Le Petit Paris 380 g,5,Épicerie,4.5,,,,,Otrity,Tunisie
Harissa du Cap Bon Zgolli 135 g,5,Épicerie,1.9,,,,,Otrity,Tunisie
Harissa EL MANARA TUCAL Tube 70g,5,Épicerie,1.72,,,,,Otrity,Tunisie
Harissa en bocal de 330g Aman Food,5,Épicerie,6.42,,,,,Otrity,Tunisie
Harissa ZINA 135gr,5,Épicerie,1.797,,,,,Otrity,Tunisie
Harissa ZINA 380gr,5,Épicerie,3.48,,,,,Otrity,Tunisie
Hommos Tahina 380G  MAMI,5,Épicerie,5.0,,,,,Otrity,Tunisie
Hrouss CARTHAGE  470 GR,5,Épicerie,2.28,,,,,Otrity,Tunisie
Hrouss Jouda  135g + 30g Offerts,5,Épicerie,2.132,,,,,Otrity,Tunisie
Hrouss Jouda 380g,5,Épicerie,4.296,,,,,Otrity,Tunisie
Hrouss Neblia-135g,5,Épicerie,1.875,,,,,Otrity,Tunisie
HUILE D’OLIVE EXTRA VIERGE 1 L JAZIRA,5,Épicerie,11.95,,,,,Otrity,Tunisie
HUILE D’OLIVE EXTRA VIERGE 5 L JAZIRA,5,Épicerie,55.0,,,,,Otrity,Tunisie
Huile d’olive extra vierge AL JAZIRA 3L,5,Épicerie,101.0,,,,,Otrity,Tunisie
Huile d’olive extra vierge AL JAZIRA 800g,5,Épicerie,33.7,,,,,Otrity,Tunisie
Huile d’olive extra vierge TRIO D’OR 750ML,5,Épicerie,12.9,,,,,Otrity,Tunisie
Huile de Friture Al Jazira 0.9l,5,Épicerie,5.04,,,,,Otrity,Tunisie
Huile de Friture Al Jazira 1.8L,5,Épicerie,9.42,,,,,Otrity,Tunisie
Huile de Friture Cristal 2L,5,Épicerie,10.92,,,,,Otrity,Tunisie
Huile de friture Fridéal Olina 5L,5,Épicerie,22.5,,,,,Otrity,Tunisie
Huile de Friture Frotòo 0.9l,5,Épicerie,5.2,,,,,Otrity,Tunisie
Huile de Maïs Al Jazira 1.8L,5,Épicerie,10.68,,,,,Otrity,Tunisie
Huile de maïs Al Jazira 900 ML,5,Épicerie,5.64,,,,,Otrity,Tunisie
Huile de maïs Lesieur  900 ML,5,Épicerie,5.59,,,,,Otrity,Tunisie
HUILE D’OLIVE EXTRA VIERGE 3 L JAZIRA,5,Épicerie,34.5,,,,,Otrity,Tunisie
"Kellogg’s Instant Noodles with Beef Flavored, 70g",5,Épicerie,1.07,,,,,Otrity,Tunisie
"Kellogg’s Instant Noodles with Chicken Flavor, 70g",5,Épicerie,1.07,,,,,Otrity,Tunisie
"Kellogg’s Instant Noodles with Sausage Flavored, 70g",5,Épicerie,1.07,,,,,Otrity,Tunisie
Ketchup BONNA  270ML,5,Épicerie,4.44,,,,,Otrity,Tunisie
Lait concentré sucré  Nestlé 370 gr,5,Épicerie,9.2,,,,,Otrity,Tunisie
Le Thon entier à l’huile végétale CAP AFRICA 400 g,5,Épicerie,12.0,,,,,Otrity,Tunisie
Lollo Caffè CLASSICO Sachet de 1kg en grains,5,Épicerie,45.0,,,,,Otrity,Tunisie
