nom,category_id,categorie,prix_initial,prix_optimal,stock,date_expiration,jours_avant_expiration,supermarche,zone
Œufs frais,1,Produits Laitiers,17.99,6.796,117,2026-04-08,4,Carrefour,Tunis
Fromage fondu gouda cavalière,1,Produits Laitiers,33.5,29.755,107,2026-04-15,11,Carrefour,Sousse
Ricotta double crème,1,Produits Laitiers,12.5,12.5,86,2026-04-17,13,Carrefour,Ariana
Margarine,1,Produits Laitiers,7.39,3.977,35,2026-04-11,7,Carrefour,Tunis
Fromage râpé au sicilien cuit,1,Produits Laitiers,56.3,30.3,97,2026-04-11,7,Carrefour,Sousse
Yaourt brassé,1,Produits Laitiers,0.43,0.382,89,2026-04-15,11,Carrefour,Ariana
Fromage râpé au gruyere,1,Produits Laitiers,8.29,3.494,102,2026-04-09,5,Carrefour,Tunis
Le bleu de Lansarine,1,Produits Laitiers,60.9,37.217,114,2026-04-12,8,Carrefour,Sousse
Délishake,1,Produits Laitiers,1.09,0.375,38,2026-04-07,3,Carrefour,Ariana
Plateau Fromage fête (350g à 400g),1,Produits Laitiers,52.9,22.299,36,2026-04-09,5,Carrefour,Tunis
Fromage edam,1,Produits Laitiers,58.6,35.811,16,2026-04-12,8,Carrefour,Sousse
Fromage à raclette,1,Produits Laitiers,61.0,28.975,44,2026-04-10,6,Carrefour,Ariana
Fromage à raclette,1,Produits Laitiers,76.5,76.5,16,2026-04-16,12,Carrefour,Tunis
Mozzarella cerise,1,Produits Laitiers,50.2,15.304,35,2026-04-05,1,Carrefour,Sousse
Fromage sicilien demi sel,1,Produits Laitiers,39.8,31.287,90,2026-04-14,10,Carrefour,Ariana
Fromage gouda,1,Produits Laitiers,58.6,58.6,36,2026-04-17,13,Carrefour,Tunis
Fromage Primo Sale,1,Produits Laitiers,59.8,18.231,103,2026-04-05,1,Carrefour,Sousse
Crème dessert Toffee chocolat,1,Produits Laitiers,0.89,0.79,105,2026-04-15,11,Carrefour,Ariana
Fromage Gouda,1,Produits Laitiers,51.9,51.9,56,2026-04-16,12,Carrefour,Tunis
Fromage carré,1,Produits Laitiers,5.69,5.69,74,2026-04-18,14,Carrefour,Sousse
Yaourt nature nature light,1,Produits Laitiers,0.55,0.55,76,2026-04-18,14,Carrefour,Ariana
Yaourt aromatisé,1,Produits Laitiers,0.55,0.55,65,2026-04-16,12,Carrefour,Tunis
Fromage à l'emmental,1,Produits Laitiers,5.2,1.964,69,2026-04-08,4,Carrefour,Sousse
Fromage au cheddar,1,Produits Laitiers,5.2,3.607,78,2026-04-13,9,Carrefour,Ariana
Crème sucrée pour garniture de gâteaux,1,Produits Laitiers,6.89,2.904,17,2026-04-09,5,Carrefour,Tunis
